# Revelation Order, Surah Name, Generated Pattern, Classification
# ترتيب النزول, اسم السورة, الشكل الناتج, التصنيف
1,Al-Alaq,Heart + Leech,Complete
2,Al-Qalam,Eye + Hand holding pen,No heart (linguistic symbol)
3,Al-Muzzammil,Column + Halo,No heart
4,Al-Muddaththir,Cloak (upper curve),Primitive
5,Al-Fatiha,Heart + Two hands,Complete
6,Al-Mutaffifin,Slanted scale,No heart
7,Quraysh,Simplified Kaaba,No heart
8,Al-Fil,Elephants + Birds,No heart
9,At-Takwir,Wrapped sun + heart,Advanced
10,Al-Infitar,Cleavage + stars,No heart
11,Ash-Sharh,Open heart,Complete
12,Al-Qadr,Heart + 5 stars,Complete
13,Al-Masad,Fire + ropes,No heart
14,Al-Ikhlas,Heart + Star of David,Complete
15,Al-Falaq,Upside-down heart + ray,Advanced
16,An-Nas,Heart + eye,Complete
17,Al-Kawthar,Heart + fountain,Complete
97,Ar-Rahman,Pure heart, 31 repetitions, fully symmetrical,Peak of completion
111,An-Nasr,Divided heart + sword,Advanced

